W,Q2,eps,cos_th,Su,dSu,Slt,dSlt,Stt,dStt
2.05,1.55,0.572,0.65,74.27,7.79894,-12.756,9.72728,-12.74,15.583
2.05,1.55,0.572,0.9,154.64,15.6675,2.234,16.356,-1.94,26.644
2.15,1.55,0.493,-0.25,7.78,1.52692,-6.916,2.73134,2.28,4.49916
2.15,1.55,0.493,0.05,18.12,2.30426,-6.817,3.26132,-4.43,5.82836
2.15,1.55,0.493,0.35,29.12,3.93315,-14.241,6.13569,-19.31,9.73216
2.15,1.55,0.493,0.65,61.71,7.47091,3.069,11.7489,-6.83,17.0468
2.15,1.55,0.493,0.9,121.32,13.7965,-48.847,15.9391,-62.51,28.0662
2.25,1.55,0.465,-0.25,4.57,1.0432,-3.041,2.04239,5.74,3.64358
2.25,1.55,0.465,0.05,9.62,1.57337,-10.366,2.78182,-4.76,5.3322
2.25,1.55,0.465,0.35,17.99,2.71037,-9.037,4.81625,-11.73,8.83625
2.25,1.55,0.465,0.65,45.85,7.34137,-17.112,14.9056,4.61,21.3521
2.25,1.55,0.465,0.9,85.37,18.9586,-75.279,41.1391,-51.28,54.811
2.35,1.55,0.301,-0.25,3.99,0.941665,-2.376,2.23419,6.18,4.34144
2.35,1.55,0.301,0.05,6.64,1.27812,-6.095,2.90132,-3.59,5.9732
2.35,1.55,0.301,0.35,13.42,2.11539,-5.869,4.39508,-5.28,9.32334
2.35,1.55,0.301,0.65,33,4.51983,-25.739,9.45246,-46.88,17.3402
1.65,2.05,0.703,-0.6,26.53,4.082,2.517,5.33175,4.55,8.22519
1.65,2.05,0.703,-0.25,31.29,4.60398,-2.234,5.48544,-2.74,9.08211
1.65,2.05,0.703,0.05,36.16,5.31372,-5.261,6.70581,1.12,10.2529
1.65,2.05,0.703,0.35,34.63,4.95398,-4.398,5.77404,0.36,8.76771
1.65,2.05,0.703,0.65,44.61,5.67357,-10.72,5.72875,-6.19,9.70095
1.65,2.05,0.703,0.9,57.26,6.8377,-2.814,6.76928,-1.77,12.0653
1.75,2.05,0.656,-0.6,30.9,4.10482,5.926,5.3451,-17.42,8.48392
1.75,2.05,0.656,-0.25,37.51,4.79165,-11.031,5.89627,-11.79,9.56975
1.75,2.05,0.656,0.05,49.08,5.49967,-29.995,6.12652,-6.34,10.2218
1.75,2.05,0.656,0.35,79.64,8.41813,-30.985,9.60296,-1.65,15.4131
1.75,2.05,0.656,0.65,118.76,11.6722,-42.398,10.9878,-0.67,18.2978
1.75,2.05,0.656,0.9,162.23,15.2882,-21.128,13.6614,-10.92,23.5326
1.85,2.05,0.599,-0.6,15.27,4.10552,5.515,7.27588,-15.54,10.3917
1.85,2.05,0.599,-0.25,29.93,4.00689,-5.204,5.41585,-15.25,8.59129
1.85,2.05,0.599,0.05,47.42,6.00222,-17.084,8.65025,-10.86,13.3513
1.85,2.05,0.599,0.35,67.97,6.71787,-28.751,7.2651,-19.54,12.1965
1.85,2.05,0.599,0.65,92.24,9.46718,-22.415,10.0405,-36.59,15.9762
1.85,2.05,0.599,0.9,135.53,12.8088,-24.933,11.6359,-4.13,20.227
1.95,2.05,0.534,-0.6,9.21,4.1527,11.201,7.87042,-14.83,10.129
1.95,2.05,0.534,-0.25,14.99,3.05187,-3.677,5.52629,-3.05,8.42697
1.95,2.05,0.534,0.05,32.55,3.77304,-12.389,4.99441,1.58,8.40997
1.95,2.05,0.534,0.35,50.5,6.309,-6.251,9.58067,21.74,13.7298
1.95,2.05,0.534,0.65,76.58,8.50256,-22.684,11.5363,-4.9,18.0912
1.95,2.05,0.534,0.9,124.33,12.5894,-3.705,13.5291,24.21,22.7301
2.05,2.05,0.458,-0.25,10.82,2.38959,-4.738,4.52069,-4.66,7.59049
2.05,2.05,0.458,0.05,22.44,2.77019,-17.55,4.04508,2.61,7.39821
2.05,2.05,0.458,0.35,35.09,4.30671,-19.488,6.51079,-19.23,10.5819
2.05,2.05,0.458,0.65,54.61,6.92668,-7.792,11.6362,4.94,17.7958
2.05,2.05,0.458,0.9,113.31,12.8345,15.627,16.8462,-3.45,27.9513
2.15,2.05,0.371,-0.25,5.34,1.22507,0.537,2.38584,-7.21,4.87424
2.15,2.05,0.371,0.05,14.22,2.1023,-11.413,3.83996,-11.32,7.48916
2.15,2.05,0.371,0.35,22.9,3.27456,-12.558,5.85163,0.79,10.4275
2.15,2.05,0.371,0.65,55.21,7.79876,-9.093,16.0231,-2.32,23.9734
2.15,2.05,0.371,0.9,112.39,18.6207,-6.378,38.4732,-13.24,50.3451
2.25,2.05,0.274,-0.25,3.77,1.08715,-4.964,2.65564,1.56,4.90692
2.25,2.05,0.274,0.05,8.81,1.59241,-10.946,3.69097,-3.81,8.01666
2.25,2.05,0.274,0.35,14.5,2.53218,-12.671,5.64639,-0.63,12.0522
2.25,2.05,0.274,0.65,40.44,7.55658,-8.839,20.2003,12.08,33.5753
2.35,2.05,0.166,-0.25,4.57,1.17451,-5.699,3.70221,-4.87,9.72254
2.35,2.05,0.166,0.05,5.56,1.55194,-8.415,4.99031,-2.01,13.3935
2.35,2.05,0.166,0.35,11.88,2.36124,-0.495,7.33528,-16.51,19.3127
2.35,2.05,0.166,0.65,19.59,4.86665,-29.628,16.9021,-41.99,40.6651
1.65,2.55,0.612,-0.6,26.18,4.23563,-2.135,6.09635,-2.14,9.8735
1.65,2.55,0.612,-0.25,23,4.83296,0.071,7.53661,4.65,11.7457
1.65,2.55,0.612,0.05,26.34,5.47682,-2.56,8.14679,-4.3,12.0797
1.65,2.55,0.612,0.35,31.86,5.34782,-6.802,7.51404,-0.05,11.6211
1.65,2.55,0.612,0.65,40.42,5.78999,-3.012,7.01268,6.12,11.3344
1.65,2.55,0.612,0.9,39.6,6.26586,-19.841,8.04747,10.66,13.2966
1.75,2.55,0.556,-0.6,20.69,5.22737,1.598,8.26345,-9.3,14.1476
1.75,2.55,0.556,-0.25,26.19,4.36494,-6.336,6.61508,-7.86,11.0289
1.75,2.55,0.556,0.05,42.94,5.6125,-17.14,7.96826,-2.66,13.3888
1.75,2.55,0.556,0.35,62.39,7.78737,-18.738,10.9806,1.6,17.0297
1.75,2.55,0.556,0.65,86.78,9.49229,-14.566,11.1364,16.98,17.7891
1.75,2.55,0.556,0.9,116.28,12.1404,-12.247,12.2474,-9.23,22.6169
1.85,2.55,0.492,-0.6,16.05,5.92542,-6.138,10.5705,-1.39,14.1565
1.85,2.55,0.492,-0.25,21.71,5.50107,-6.647,9.89498,5.84,17.1015
1.85,2.55,0.492,0.05,36.9,4.95827,-9.97,7.75274,-5.07,13.2152
1.85,2.55,0.492,0.35,58.24,6.70146,-11.95,10.0032,-9.31,16.0627
1.85,2.55,0.492,0.65,70.35,8.48582,-19.997,12.388,-17.72,19.2342
1.85,2.55,0.492,0.9,115.71,11.9198,-14.524,13.6733,-9.92,24.1454
1.95,2.55,0.419,-0.25,14.81,4.00796,0.396,8.24099,14.8,15.1447
1.95,2.55,0.419,0.05,24.09,3.89663,-7.396,7.13527,-2.75,12.8168
1.95,2.55,0.419,0.35,41.23,6.31451,-14.581,12.146,-2.77,18.8534
1.95,2.55,0.419,0.65,58.67,8.34958,-6.124,15.3982,-2.25,23.1058
1.95,2.55,0.419,0.9,92.5,11.2026,-6.223,16.7045,-29.82,29.4652
2.05,2.55,0.336,-0.25,13.85,4.72545,-23.674,13.6469,24.87,21.4921
2.05,2.55,0.336,0.05,14.61,2.4756,-7.142,4.82658,-11.52,10.0842
2.05,2.55,0.336,0.35,31.9,4.78969,-4.907,9.38178,-33.95,17.1398
2.05,2.55,0.336,0.65,51.38,8.46319,25.088,19.2945,39.42,28.9076
2.05,2.55,0.336,0.9,70.15,11.1791,-46.471,23.4296,-53.24,43.2192
2.15,2.55,0.243,-0.25,3.54,2.2101,-4.54,7.07452,0.83,12.6558
2.15,2.55,0.243,0.05,13.58,2.95874,-10.904,7.05209,-17.18,17.6411
2.15,2.55,0.243,0.35,20.6,4.12091,-16.744,10.6156,10.43,22.55
2.15,2.55,0.243,0.65,44.45,8.91007,3.125,25.0898,29.21,42.343
