-0.6	1	-0.7	1.8	-0.6	0.65
-0.6	1.55	-0.7	1.8	-0.6	1
-0.6	2.05	-0.7	2.6	-0.7	1.8
-0.6	2.55	-0.7	2.6	-0.6	2.05
-0.5	1.8	-0.7	1.8	-0.6	1.55
-0.5	1.8	-0.6	2.05	-0.7	1.8
-0.5	2.6	-0.7	2.6	-0.6	2.55
-0.5	2.6	-0.6	2.55	-0.6	2.05
-0.5	3.45	-0.7	3.45	-0.7	2.6
-0.5	3.45	-0.7	2.6	-0.5	2.6
-0.4	0	-0.6	0.65	-0.5	0
-0.3	2.6	-0.5	3.45	-0.5	2.6
-0.3	2.6	-0.5	2.6	-0.6	2.05
-0.3	3.45	-0.5	3.45	-0.3	2.6
-0.2	0.65	-0.6	1	-0.6	0.65
-0.2	0.65	-0.6	0.65	-0.4	0
-0.2	0.65	-0.4	0	-0.2	0
-0.2	1	-0.6	1	-0.2	0.65
-0.2	1.55	-0.5	1.8	-0.6	1.55
-0.2	1.55	-0.6	1.55	-0.6	1
-0.2	1.55	-0.6	1	-0.2	1
-0.2	1.55	-0.3	1.8	-0.5	1.8
-0.2	2.05	-0.6	2.05	-0.5	1.8
-0.2	2.05	-0.5	1.8	-0.3	1.8
-0.2	2.05	-0.3	2.6	-0.6	2.05
-0.2	2.55	-0.3	2.6	-0.2	2.05
-0.1	0	-0.2	0.65	-0.2	0
-0.1	1.8	-0.3	1.8	-0.2	1.55
-0.1	1.8	-0.2	2.05	-0.3	1.8
-0.1	2.6	-0.3	3.45	-0.3	2.6
-0.1	2.6	-0.3	2.6	-0.2	2.55
-0.1	3.45	-0.3	3.45	-0.1	2.6
-1.38778e-16	0.65	-0.2	1	-0.2	0.65
-1.38778e-16	0.65	-0.2	0.65	-0.1	0
-1.38778e-16	0.65	-0.1	0	-1.38778e-16	0
-1.38778e-16	1	-0.2	1	-1.38778e-16	0.65
-1.38778e-16	1.55	-0.2	1.55	-0.2	1
-1.38778e-16	1.55	-0.2	1	-1.38778e-16	1
-1.38778e-16	1.55	-0.1	1.8	-0.2	1.55
-1.38778e-16	2.05	-0.2	2.05	-0.1	1.8
-1.38778e-16	2.55	-0.2	2.55	-0.2	2.05
-1.38778e-16	2.55	-0.2	2.05	-1.38778e-16	2.05
-1.38778e-16	2.55	-0.1	2.6	-0.2	2.55
0.1	0	-1.38778e-16	0.65	-1.38778e-16	0
0.1	1.8	-0.1	1.8	-1.38778e-16	1.55
0.1	1.8	-1.38778e-16	2.05	-0.1	1.8
0.1	2.6	-0.1	2.6	-1.38778e-16	2.55
0.1	3.45	-0.1	3.45	-0.1	2.6
0.1	3.45	-0.1	2.6	0.1	2.6
0.3	0.65	-1.38778e-16	1	-1.38778e-16	0.65
0.3	0.65	-1.38778e-16	0.65	0.1	0
0.3	0.65	0.1	0	0.2	0
0.3	0.65	0.2	0	0.3	0
0.3	1	-1.38778e-16	1	0.3	0.65
0.3	1.55	-1.38778e-16	1.55	-1.38778e-16	1
0.3	1.55	-1.38778e-16	1	0.3	1
0.3	1.55	0.1	1.8	-1.38778e-16	1.55
0.3	1.8	0.1	1.8	0.3	1.55
0.3	2.05	-1.38778e-16	2.55	-1.38778e-16	2.05
0.3	2.05	-1.38778e-16	2.05	0.1	1.8
0.3	2.05	0.1	1.8	0.3	1.8
0.3	2.55	0.1	2.6	-1.38778e-16	2.55
0.3	2.55	-1.38778e-16	2.55	0.3	2.05
