1.65	0.65	0.714	-0.6	82.46	10.0121	2.164	11.347	1.55	16.1809	
1.65	0.65	0.714	-0.25	83.76	9.58129	-5.134	10.3544	-16.79	15.3773	
1.65	0.65	0.714	0.05	83.55	9.46222	-19.361	10.2234	-3.74	14.4709	
1.65	0.65	0.714	0.35	107.73	11.6809	-1.669	11.8716	-17.56	17.5835	
1.65	0.65	0.714	0.65	125.52	13.9709	-20.252	13.8328	-13.7	20.3381	
1.65	0.65	0.714	0.9	157.45	16.4496	-12.106	14.4246	-16.31	22.6918	
1.725	0.65	0.657	-0.6	79.9	9.30634	-13.435	9.75835	-25.07	15.585	
1.725	0.65	0.657	-0.25	97.3	10.6907	-21.199	10.5776	-14.96	16.7817	
1.725	0.65	0.657	0.05	137.48	14.4042	-54.985	13.4836	-33.57	20.0861	
1.725	0.65	0.657	0.35	176.68	19.0853	-84.018	20.4876	-77.49	29.0778	
1.725	0.65	0.657	0.65	256.28	26.4204	-102.53	26.067	-86.99	39.3228	
1.725	0.65	0.657	0.9	371.16	37.9185	-55.579	33.2962	2.03	51.7189	
1.775	0.65	0.613	-0.6	43.45	5.89812	-4.2	7.42286	-21.07	11.9728	
1.775	0.65	0.613	-0.25	79.26	8.54566	-25.993	8.38933	-9.86	13.6454	
1.775	0.65	0.613	0.05	127.46	13.1513	-49.695	12.3745	-22.6	18.8197	
1.775	0.65	0.613	0.35	167.03	17.1102	-73.709	16.1347	-42.28	23.684	
1.775	0.65	0.613	0.65	235.45	24.1947	-47.857	24.354	-37.99	35.5812	
1.775	0.65	0.613	0.9	321.09	33.0096	-49.328	30.198	27.07	45.9966	
1.825	0.65	0.564	-0.6	45.86	5.84851	-4.978	7.47364	-13.89	11.9878	
1.825	0.65	0.564	-0.25	81.79	8.60475	-28.836	8.43296	-16.43	13.7546	
1.825	0.65	0.564	0.05	111.39	11.4136	-34.62	10.6703	-30.7	16.6238	
1.825	0.65	0.564	0.35	153.29	15.5229	-44.237	14.3335	-58.63	21.7418	
1.825	0.65	0.564	0.65	196.6	20.4991	-47.334	21.6932	-51.59	31.4175	
1.825	0.65	0.564	0.9	271.42	28.5015	-35.426	28.1229	10.68	42.603	
1.875	0.65	0.51	-0.6	55.21	6.65827	-13.803	8.65621	3.63	13.9994	
1.875	0.65	0.51	-0.25	72.05	7.61697	-14.764	7.88443	2.86	12.9268	
1.875	0.65	0.51	0.05	94.01	9.66906	-37.279	9.40103	-14.59	15.0757	
1.875	0.65	0.51	0.35	126.21	12.8072	-37.957	12.0223	-57.08	19.0025	
1.875	0.65	0.51	0.65	178.56	18.6669	-47.97	20.0213	-45.52	28.7767	
1.875	0.65	0.51	0.9	266.53	28.7136	-36.289	31.8369	-27.2	46.2826	
1.925	0.65	0.451	-0.6	47.19	5.43904	-2.956	6.77257	6.93	11.7218	
1.925	0.65	0.451	-0.25	48.87	5.39808	-17.536	6.32635	-7.81	10.9512	
1.925	0.65	0.451	0.05	75.16	7.81035	-22.91	7.99152	-27.46	13.3993	
1.925	0.65	0.451	0.35	107.35	10.9633	-33.885	10.8328	-54.21	17.7625	
1.925	0.65	0.451	0.65	156.83	16.4955	-17.409	18.5703	-31.76	27.3194	
1.925	0.65	0.451	0.9	209.82	27.2076	-136.981	44.0259	-97.07	58.1916	
1.975	0.65	0.386	-0.6	33.35	3.98932	0.057	5.59189	4.25	10.4554	
1.975	0.65	0.386	-0.25	33.18	3.83183	-12.134	5.14008	1.51	9.49031	
1.975	0.65	0.386	0.05	57.73	6.15171	-17.777	7.07652	-22.07	12.6028	
1.975	0.65	0.386	0.35	85.46	8.92347	-23.886	9.84205	-41.62	17.3099	
1.975	0.65	0.386	0.65	135.52	14.1404	-39.952	16.0926	-44.33	25.6011	
1.975	0.65	0.386	0.9	182.66	29.0814	-123.15	59.3641	-124.54	76.1504	
2.05	0.65	0.279	-0.6	22.08	2.71093	-13.053	4.69713	-1.05	9.53657	
2.05	0.65	0.279	-0.25	21.97	2.54259	-23.25	4.08211	-6.18	8.30767	
2.05	0.65	0.279	0.05	49.21	5.11462	-25.498	6.19689	-42.33	12.3183	
2.05	0.65	0.279	0.35	76.07	7.77551	-21.821	8.99464	-40.26	17.3215	
2.05	0.65	0.279	0.65	111.56	11.4606	-39.244	13.7738	-92.93	24.5393	
2.05	0.65	0.279	0.9	176.28	25.91	-92.843	59.7418	-20.57	85.6406	
1.65	1	0.598	-0.6	74.74	8.0949	-1.513	10.2274	-11.03	15.5835	
1.65	1	0.598	-0.25	72.09	7.3468	-2.418	8.34427	-10.92	13.3382	
1.65	1	0.598	0.05	77.09	8.04275	-8.217	9.78878	-7.55	14.5643	
1.65	1	0.598	0.35	87.67	8.72554	-3.239	9.70167	14.1	14.7425	
1.65	1	0.598	0.65	104.59	10.2347	-14.934	10.5545	-11.83	16.5457	
1.65	1	0.598	0.9	123.93	11.6411	-8.301	10.658	-12.9	18.3479	
1.725	1	0.531	-0.6	67.9	7.20966	-5.968	8.66719	13.55	14.6305	
1.725	1	0.531	-0.25	77.89	7.88465	-29.896	8.88749	-8.51	15.4172	
1.725	1	0.531	0.05	109.14	10.6807	-46.74	11.8678	-31.9	19.1795	
1.725	1	0.531	0.35	138.44	13.4661	-86.281	15.7103	-55.56	25.1716	
1.725	1	0.531	0.65	248.18	23.2439	-42.073	25.3391	30.71	39.321	
1.725	1	0.531	0.9	306.73	27.8796	-17.14	25.8959	21.35	43.4331	
1.775	1	0.48	-0.6	31.58	4.80802	10.833	8.48164	-36.48	14.458	
