1.975	1.8	0.7836	-0.525	11.3	1.66305	3.467	1.33321	-4.071	2.09974
1.975	1.8	0.7836	-0.3	17.448	2.35113	-1.609	1.4949	-7.785	2.82298
1.975	1.8	0.7836	-0.1	26.854	3.41283	3.365	2.1651	-4.591	3.42044
1.975	1.8	0.7836	0.1	28.62	3.73806	-0.964	2.81526	-6.064	4.21021
1.975	1.8	0.7836	0.3	34.674	4.35322	-6.145	2.93929	-0.85	4.33014
1.975	1.8	0.7836	0.5	40.492	4.93549	-4.407	2.77237	5.704	4.35444
1.975	1.8	0.7836	0.675	37.591	5.07798	-5.569	3.96195	3.253	6.01805
1.975	1.8	0.7836	0.825	40.048	5.22088	-7.451	3.15676	0.686	5.42659
1.975	1.8	0.7836	0.95	56.416	6.99504	-7.195	3.85796	4.022	6.28365
2.025	1.8	0.7683	-0.775	5.891	1.23612	-1.036	1.3395	-0.18	2.1401
2.025	1.8	0.7683	-0.525	4.777	0.910364	1.368	0.919045	-0.781	1.40597
2.025	1.8	0.7683	-0.3	7.986	1.27757	-0.113	1.03108	-3.874	1.92901
2.025	1.8	0.7683	-0.1	12.308	1.77999	0.71	1.36154	-2.927	2.32239
2.025	1.8	0.7683	0.1	18.887	2.55589	-0.85	1.88862	-3.275	2.96784
2.025	1.8	0.7683	0.3	25.352	3.30646	-5.978	2.63647	0.918	3.79952
2.025	1.8	0.7683	0.5	33.235	4.09173	-4.6	2.50256	1.53	3.85816
2.025	1.8	0.7683	0.675	39.436	5.08521	-6.625	3.52527	-0.158	5.43503
2.025	1.8	0.7683	0.825	40.361	5.29852	-4.05	3.5458	13.194	5.72312
2.025	1.8	0.7683	0.95	67.573	8.13908	-8.358	3.95481	5.265	6.47537
2.075	1.8	0.7489	-0.775	4.295	0.951112	0.503	1.10856	1.312	1.66011
2.075	1.8	0.7489	-0.525	2.766	0.632514	0.747	0.711389	0.168	1.07018
2.075	1.8	0.7489	-0.3	4.155	0.871109	0.186	0.896264	-1.131	1.53073
2.075	1.8	0.7489	-0.1	9.414	1.41494	-1.426	1.12445	-3.096	2.03352
2.075	1.8	0.7489	0.1	13.52	1.91279	-2.135	1.57	-1.229	2.49215
2.075	1.8	0.7489	0.3	20.685	2.79397	-6.51	2.46084	-1.963	3.57439
2.075	1.8	0.7489	0.5	27.832	3.51231	-7.879	2.5141	-2.209	3.68507
2.075	1.8	0.7489	0.675	28.186	3.80128	-6.376	3.11271	6.334	4.75214
2.075	1.8	0.7489	0.825	36.791	5.00353	-8.123	3.63543	3.874	5.72298
2.075	1.8	0.7489	0.95	58.406	7.13642	-8.038	3.7663	4.464	6.24986
2.125	1.8	0.7287	-0.775	4.425	0.954137	0.429	1.08716	0.371	1.72355
2.125	1.8	0.7287	-0.525	1.727	0.506664	0.242	0.597671	-0.212	0.980314
2.125	1.8	0.7287	-0.3	3.406	0.809685	-0.47	0.921642	-0.202	1.54718
2.125	1.8	0.7287	-0.1	5.654	1.03578	1.124	1.10287	0.169	1.73411
2.125	1.8	0.7287	0.1	10.875	1.58944	-1.572	1.415	0.559	2.25995
2.125	1.8	0.7287	0.3	13.781	2.02048	-2.808	1.92524	-1.444	2.95583
2.125	1.8	0.7287	0.5	16.8	2.47282	-2.411	2.50692	1.617	3.78773
2.125	1.8	0.7287	0.675	23.003	3.27445	-3.402	2.89351	1.039	4.54263
2.125	1.8	0.7287	0.825	24.94	4.06525	-4.484	4.06202	2.122	6.13902
2.125	1.8	0.7287	0.95	45.22	5.8333	-3.723	3.74442	0.998	6.41206
2.175	1.8	0.7042	-0.775	4.541	0.886289	0.279	0.988539	-0.486	1.617
2.175	1.8	0.7042	-0.525	3.572	0.677205	-0.232	0.732503	-0.055	1.22602
2.175	1.8	0.7042	-0.3	3.434	0.773449	-0.319	0.915761	0.276	1.49635
2.175	1.8	0.7042	-0.1	4.808	0.935226	-0.877	0.960497	-1.397	1.72178
2.175	1.8	0.7042	0.1	9.832	1.49176	-2.249	1.38129	-0.658	2.27031
2.175	1.8	0.7042	0.3	10.841	1.7065	-1.372	1.67969	-1.76	2.68591
2.175	1.8	0.7042	0.5	15.196	2.44066	-2.273	2.80762	0.271	4.20512
2.175	1.8	0.7042	0.675	14.648	2.50377	-0.529	2.79069	-0.53	4.40344
2.175	1.8	0.7042	0.825	24.623	4.32892	-4.392	4.71111	0.395	7.05615
2.175	1.8	0.7042	0.95	34.631	4.91078	-3.635	4.03448	3.585	6.83588
2.225	1.8	0.6791	-0.775	4.687	0.859374	-0.31	0.99666	1.838	1.59358
2.225	1.8	0.6791	-0.525	4.31	0.714729	0.635	0.762628	1.527	1.20334
2.225	1.8	0.6791	-0.3	3.566	0.749965	0.339	0.910864	0.935	1.44614
2.225	1.8	0.6791	-0.1	3.838	0.799888	-0.982	0.957915	0.613	1.56664
2.225	1.8	0.6791	0.1	10.043	1.47378	-1.17	1.38379	3.226	2.25186
2.225	1.8	0.6791	0.3	9.197	1.49779	-1.334	1.59963	1.025	2.55582
2.225	1.8	0.6791	0.5	11.283	2.07387	-1.24	2.64498	-1.499	3.96788
2.225	1.8	0.6791	0.675	15.278	2.59939	-2.743	3.05689	-4.022	4.9534
2.225	1.8	0.6791	0.825	26.659	4.68022	1.79	5.41305	8.53	7.47393
2.225	1.8	0.6791	0.95	36.924	5.23448	-2.022	4.44131	2.91	7.52271
2.275	1.8	0.6516	-0.775	3.763	0.695416	0.122	0.789129	-0.177	1.33516
2.275	1.8	0.6516	-0.525	3.012	0.548637	-0.558	0.609507	0.009	1.06
2.275	1.8	0.6516	-0.3	2.366	0.587919	-0.496	0.770189	0.501	1.28734
2.275	1.8	0.6516	-0.1	2.92	0.710266	-0.34	0.891888	-0.376	1.53163
2.275	1.8	0.6516	0.1	5.164	0.966358	-0.405	1.13799	1.659	1.87408
2.275	1.8	0.6516	0.3	8.003	1.34508	-1.808	1.49405	0.87	2.44012
2.275	1.8	0.6516	0.5	9.508	1.75883	-2.641	2.24933	-2.69	3.48624
2.275	1.8	0.6516	0.675	17.389	2.77662	-3.776	3.31755	-4.149	5.32119
2.275	1.8	0.6516	0.825	28.658	4.42015	-8.796	4.84848	-1.726	7.64267
2.275	1.8	0.6516	0.95	56.386	7.31692	-2.529	5.14951	-1.268	8.93923
2.325	1.8	0.621	-0.775	2.615	0.58161	-0.164	0.763241	0.374	1.27575
2.325	1.8	0.621	-0.525	2.187	0.4782	0.482	0.626543	0.831	1.00173
2.325	1.8	0.621	-0.3	2.477	0.560996	-0.479	0.734142	0.588	1.2439
2.325	1.8	0.621	-0.1	2.93	0.648456	-0.633	0.817362	-0.197	1.42719
2.325	1.8	0.621	0.1	3.351	0.731611	-0.752	0.966015	1.004	1.61727
2.325	1.8	0.621	0.3	6.6	1.1628	-1.515	1.35564	-0.052	2.28501
