1.695	-0.7	46.7985	31.7901
1.695	-0.6	44.8959	31.1487
1.695	-0.5	40.4149	34.5836
1.695	-0.3999	28.9899	23.0451
1.695	-0.3	24.5407	23.555
1.695	-0.2	24.7616	27.4898
1.695	-0.1	28.1227	29.2656
1.695	0	35.4488	40.7538
1.695	0.1	22.5017	28.5348
1.695	0.2	16.0677	21.4078
1.695	0.3	10.3516	14.288
1.695	0.4	13.0916	17.3152
1.695	0.4999	20.5478	24.6407
1.705	-0.7	77.0542	38.46
1.705	-0.6	61.5119	27.3218
1.705	-0.5	56.4957	30.9953
1.705	-0.3999	62.9695	35.9311
1.705	-0.3	51.1208	24.278
1.705	-0.2	44.0722	20.0863
1.705	-0.1	51.657	20.6246
1.705	0	61.9606	20.7695
1.705	0.1	58.7455	20.3722
1.705	0.2	44.1919	16.8648
1.705	0.3	60.7601	24.4718
1.705	0.4	66.5488	26.6303
1.705	0.4999	48.3151	19.8535
1.705	0.6	44.2095	22.0473
1.705	0.7	42.9962	22.8602
1.705	0.8	52.5073	35.7856
1.715	-0.7	48.3623	36.1658
1.715	-0.6	58.0282	26.4478
1.715	-0.5	56.3561	30.1502
1.715	-0.3999	61.2265	28.8608
1.715	-0.3	57.5737	24.4437
1.715	-0.2	58.0852	19.4375
1.715	-0.1	62.1099	18.8479
1.715	0	63.4972	18.0497
1.715	0.1	67.6954	20.5359
1.715	0.2	105.69	31.7994
1.715	0.3	55.9762	15.7578
1.715	0.4	55.9734	12.3361
1.715	0.4999	62.9345	12.4236
1.715	0.6	73.0073	14.2141
1.715	0.7	67.7725	14.1235
1.715	0.8	65.6163	14.8837
1.725	-0.7	60.6628	33.2513
1.725	-0.6	64.0172	32.2866
1.725	-0.5	58.7945	28.4006
1.725	-0.3999	71.0494	34.8714
1.725	-0.3	68.1259	28.8836
1.725	-0.2	64.4019	23.158
1.725	-0.1	77.1962	26.053
1.725	0	78.8427	25.3595
1.725	0.1	89.8419	26.3957
1.725	0.2	80.7571	18.33
1.725	0.3	74.5095	15.5003
1.725	0.4	72.9873	15.9779
1.725	0.4999	81.949	19.1645
1.725	0.6	81.6	18.4981
1.725	0.7	89.859	19.8544
1.725	0.8	90.1635	19.6664
1.725	0.9	109.366	73.105
