1.63	1.8	0.8695	-0.775	76.344	4.61	4.392	5.165	6.624	7.954	-16.257	15.933	
1.63	1.8	0.8695	-0.525	66.2	4.318	3.693	4.481	-17.216	7.462	10.328	14.894	
1.63	1.8	0.8695	-0.3	50.957	4.192	7.654	4.541	0.549	7.028	9.638	13.101	
1.63	1.8	0.8695	-0.1	55.231	4.076	-2.075	4.463	8.064	7.144	-2.991	13.216	
1.63	1.8	0.8695	0.1	38.716	3.214	-4.783	3.584	10.601	5.768	2.867	8.48	
1.63	1.8	0.8695	0.3	61.3	3.886	-6.968	4.181	-0.36	7.075	4	14.415	
1.63	1.8	0.8695	0.5	55.52	3.912	-11.009	3.795	-13.567	7.144	2.406	15.288	
1.63	1.8	0.8695	0.675	53.389	4.479	-2.253	4.457	-7.855	8.032	2.166	16.307	
1.63	1.8	0.8695	0.825	72.8	5.621	8.341	5.91	1.791	9.834	12.534	19.435	
1.63	1.8	0.8695	0.95	66.561	7.794	0.627	8.78	7.033	13.951	7.25	26.251	
1.675	1.8	0.8601	-0.775	92.053	4.539	-1.47	5.068	-1.273	8.072	26.23	14.991	
1.675	1.8	0.8601	-0.525	84.724	3.89	-1.785	4.565	-4.107	7.133	14.445	12.344	
1.675	1.8	0.8601	-0.3	85.306	4.021	5.069	4.646	-5.296	7.323	24.336	12.849	
1.675	1.8	0.8601	-0.1	80.557	3.941	-10.179	4.432	7.057	7.146	9.474	12.079	
1.675	1.8	0.8601	0.1	88.336	4.265	-18.198	4.234	-14.346	7.727	21.066	13.887	
1.675	1.8	0.8601	0.3	90.775	4.212	-17.169	4.189	-8.505	7.681	16.43	13.997	
1.675	1.8	0.8601	0.5	111.72	4.058	-18.896	4.274	8.626	7.444	8.95	13.764	
1.675	1.8	0.8601	0.675	157.493	5.144	-21.926	5.262	-8.456	9.452	26.946	19.121	
1.675	1.8	0.8601	0.825	181.944	5.44	-9.288	5.607	-17.06	9.94	12.834	19.71	
1.675	1.8	0.8601	0.95	244.912	8.434	-5.819	9.202	-4.245	15.394	-30	25.382	
1.725	1.8	0.8493	-0.775	62.545	3.562	6.836	4.403	2.069	6.545	12.952	11.038	
1.725	1.8	0.8493	-0.525	48.637	2.41	-4.959	2.826	-14.994	4.642	19.494	8.027	
1.725	1.8	0.8493	-0.3	64.236	2.791	-18.724	3.051	-17.69	5.132	11.912	9.434	
1.725	1.8	0.8493	-0.1	72.6	2.975	-20.315	3.514	1.682	5.559	28.905	9.256	
1.725	1.8	0.8493	0.1	103.985	3.63	-26.415	4.181	-5.346	6.803	26.305	11.723	
1.725	1.8	0.8493	0.3	126.715	4.465	-25.153	5.21	7.104	8.204	28.872	12.959	
1.725	1.8	0.8493	0.5	173.094	5.423	-25.88	5.706	14.784	9.53	3.56	16.361	
1.725	1.8	0.8493	0.675	222.203	5.564	-29.685	10.168	-3.699	4.628	6.374	20.986	
1.725	1.8	0.8493	0.825	286.963	5.787	-21.821	6.284	-6.495	10.676	44.192	20.793	
1.725	1.8	0.8493	0.95	359.912	8.89	-5.383	9.723	-2.334	16.363	25.467	31.141	
1.775	1.8	0.838	-0.775	22.583	2.347	5.321	3.074	5.349	4.088	8.134	5.574	
1.775	1.8	0.838	-0.525	33.331	1.96	-8.016	2.469	-9.157	3.868	8.704	6.356	
1.775	1.8	0.838	-0.3	57.427	2.586	-23.652	3.125	-10.671	4.876	23.255	8.111	
1.775	1.8	0.838	-0.1	74.602	2.771	-21.461	3.305	-6.437	5.25	18.516	8.85	
1.775	1.8	0.838	0.1	111.824	3.226	-25.89	3.812	-5.805	6.116	-0.625	10.436	
1.775	1.8	0.838	0.3	133.959	3.719	-28.706	4.465	-11.346	7.18	21.881	11.985	
1.775	1.8	0.838	0.5	175.972	4.738	-31.101	5.568	12.377	8.846	16.679	13.906	
1.775	1.8	0.838	0.675	204.616	5.894	-19.415	6.028	-0.771	10.611	24.791	17.31	
1.775	1.8	0.838	0.825	247.12	5.033	-6.498	5.675	3.798	9.436	-7.97	17.705	
1.775	1.8	0.838	0.95	303.89	6.946	0.271	7.93	14.748	12.951	33.825	24.292	
1.825	1.8	0.825	-0.775	27.227	2.46	8.975	3.161	-3.063	4.445	8.491	7.134	
1.825	1.8	0.825	-0.525	32.224	1.849	-0.884	2.045	-13.886	3.533	8.7	6.261	
1.825	1.8	0.825	-0.3	52.674	2.336	-18.03	2.883	-3.474	4.458	14.425	7.307	
1.825	1.8	0.825	-0.1	71.238	2.968	-10.717	4.175	-0.634	6.176	13.292	8.22	
1.825	1.8	0.825	0.1	85.341	2.739	-15.259	3.459	4.913	5.357	13.569	8.141	
1.825	1.8	0.825	0.3	119.084	3.167	-28.92	3.878	-7.23	6.148	-0.157	10.307	
1.825	1.8	0.825	0.5	136.231	3.73	-16.624	4.846	0.41	7.587	21.999	11.51	
1.825	1.8	0.825	0.675	163.855	5.278	-12.401	5.366	-15.518	9.559	22.833	16.05	
1.825	1.8	0.825	0.825	204.949	4.545	-20.419	4.942	-24.898	8.648	-14.695	16.367	
