1.6950   1.8000   0.8601   -0.7750    8.016   2.970    -0.773    3.573     1.630    5.419     2.856   10.054
1.6950   1.8000   0.8601   -0.5250    8.937   3.013    -3.794    3.023    -1.830    5.706    10.379    9.967
1.6950   1.8000   0.8601   -0.3000    9.846   2.788     1.092    2.787    -5.333    4.952     1.303    8.923
1.6950   1.8000   0.8601   -0.1000    8.224   2.735     0.416    3.395     6.001    4.890    -2.908    6.869
1.6950   1.8000   0.8601    0.1000   11.948   3.714     0.499    4.072    -2.914    6.770     6.195   14.759
1.6950   1.8000   0.8601    0.3000    8.306   2.875    -0.686    2.917    -2.515    5.298     0.351   10.476
1.6950   1.8000   0.8601    0.5000   10.653   3.864     5.413    4.744     5.666    6.038    -1.115    9.144
1.6950   1.8000   0.8601    0.6750    2.800   4.116     0.445    4.462    -0.206    7.230    -1.410   15.889
1.6950   1.8000   0.8601    0.8250    0.225   3.834     0.010    4.540     0.007    7.006    -0.030   11.319
1.6950   1.8000   0.8601    0.9500    6.004   6.362    -2.013    7.504    -1.057   11.287    -0.560   17.879
1.7250   1.8000   0.8493   -0.7750   16.120   2.091     0.434    2.208    -4.228    3.764    -1.853    7.852
1.7250   1.8000   0.8493   -0.5250   21.473   2.201     2.013    2.313   -10.145    4.045     2.664    7.340
1.7250   1.8000   0.8493   -0.3000   20.363   2.201     0.061    2.311    -4.615    3.950     3.364    7.574
1.7250   1.8000   0.8493   -0.1000   17.740   2.245    -3.039    2.360    -2.137    4.122     4.116    7.444
1.7250   1.8000   0.8493    0.1000   19.328   2.404     2.369    2.589    -3.907    4.416     0.690    7.365
1.7250   1.8000   0.8493    0.3000   14.496   2.184     1.090    2.472     3.725    3.865    -1.097    6.109
1.7250   1.8000   0.8493    0.5000   16.199   2.137     0.686    2.053    -5.406    3.892    -2.027    7.836
1.7250   1.8000   0.8493    0.6750   23.427   2.645     1.015    2.766    -4.316    4.870     5.354    9.979
1.7250   1.8000   0.8493    0.8250   29.594   3.062    -1.906    3.573     5.642    5.679   -14.071   10.833
