W,Q2,eps,phi,cos_th,cs,dcs
1.725,1.8,0.8493,22.5,-0.525,15.811,6.092
1.725,1.8,0.8493,67.5,-0.525,30.494,8.206
1.725,1.8,0.8493,112.5,-0.525,33.361,7.067
1.725,1.8,0.8493,157.5,-0.525,10.904,3.174
1.725,1.8,0.8493,-157.5,-0.3,21.098,4.806
1.725,1.8,0.8493,-112.5,-0.3,23.463,6.011
1.725,1.8,0.8493,-67.5,-0.3,23.476,8.056
1.725,1.8,0.8493,-22.5,-0.3,21.147,6.931
1.725,1.8,0.8493,22.5,-0.3,15.584,5.933
1.725,1.8,0.8493,67.5,-0.3,22.324,7.851
1.725,1.8,0.8493,112.5,-0.3,22.233,5.848
1.725,1.8,0.8493,157.5,-0.3,15.399,4.098
1.725,1.8,0.8493,-157.5,-0.1,15.525,4.636
1.725,1.8,0.8493,-112.5,-0.1,20.625,6.374
1.725,1.8,0.8493,-67.5,-0.1,22.928,8.994
1.725,1.8,0.8493,-22.5,-0.1,18.459,7.019
1.725,1.8,0.8493,22.5,-0.1,10.149,5.189
1.725,1.8,0.8493,67.5,-0.1,14.567,7.147
1.725,1.8,0.8493,112.5,-0.1,19.613,6.214
1.725,1.8,0.8493,157.5,-0.1,28.461,6.296
1.725,1.8,0.8493,-157.5,0.1,10.235,3.736
1.725,1.8,0.8493,-112.5,0.1,27.406,7.13
1.725,1.8,0.8493,-67.5,0.1,19.416,8.949
1.725,1.8,0.8493,-22.5,0.1,21.987,7.364
1.725,1.8,0.8493,22.5,0.1,25.336,7.915
1.725,1.8,0.8493,67.5,0.1,10.818,6.662
1.725,1.8,0.8493,112.5,0.1,29.262,7.371
1.725,1.8,0.8493,157.5,0.1,19.405,5.155
1.725,1.8,0.8493,-157.5,0.3,12.53,4.442
1.725,1.8,0.8493,-112.5,0.3,10.801,4.813
1.725,1.8,0.8493,-67.5,0.3,7.752,6.347
1.725,1.8,0.8493,-22.5,0.3,15.066,6.241
1.725,1.8,0.8493,22.5,0.3,23.051,7.735
1.725,1.8,0.8493,67.5,0.3,22.655,10.889
1.725,1.8,0.8493,112.5,0.3,15.212,5.717
1.725,1.8,0.8493,157.5,0.3,18.82,5.448
1.725,1.8,0.8493,-157.5,0.5,10.764,3.948
1.725,1.8,0.8493,-112.5,0.5,16.364,5.825
1.725,1.8,0.8493,-67.5,0.5,22.074,8.571
1.725,1.8,0.8493,-22.5,0.5,18.632,6.128
1.725,1.8,0.8493,22.5,0.5,10.976,4.694
1.725,1.8,0.8493,67.5,0.5,19.86,8.125
