W,Q2,eps,cos_th,Su,dSu,Slt,dSlt,Stt,dStt
1.725,0.65,0.657,-0.6,13.6,5.91587,9.079,9.97059,4.55,13.5339
1.725,0.65,0.657,-0.25,14.2,5.4241,4.653,8.8099,1.86,11.9758
1.725,0.65,0.657,0.05,23.77,5.39623,10.72,8.65785,-1.04,11.3073
1.725,0.65,0.657,0.35,21.47,5.09547,-1.513,7.95624,1.54,11.4685
1.725,0.65,0.657,0.65,33.89,7.67381,17.112,11.6323,6.78,15.7183
1.725,0.65,0.657,0.9,17.27,5.86904,-3.224,7.60131,-15.63,12.307
1.775,0.65,0.613,-0.6,17.16,4.66084,-1.061,6.6834,-2.17,10.9555
1.775,0.65,0.613,-0.25,40.59,5.75859,2.051,6.98208,-19.51,11.5149
1.775,0.65,0.613,0.05,47.74,6.57178,0.665,8.4327,-13.12,11.7082
1.775,0.65,0.613,0.35,48.37,7.85862,-3.055,11.9796,-39.04,15.7144
1.775,0.65,0.613,0.65,47.93,8.40194,-9.885,13.8097,-19.76,18.9011
1.775,0.65,0.613,0.9,43.33,8.5938,0.537,11.1858,-5.58,18.9603
1.825,0.65,0.564,-0.6,42.58,6.05723,4.087,7.77415,-5.23,13.1409
1.825,0.65,0.564,-0.25,66.96,7.62977,9.631,8.10211,-32.8,13.6599
1.825,0.65,0.564,0.05,79.53,8.88274,-0.141,9.63166,-44.47,14.8319
1.825,0.65,0.564,0.35,85.89,10.0983,-19.219,12.3542,-45.79,17.4615
1.825,0.65,0.564,0.65,73.31,10.234,1.018,15.517,-12.51,21.1293
1.825,0.65,0.564,0.9,59.05,11.2005,-16.504,15.7362,-20.18,24.2356
1.875,0.65,0.51,-0.6,37.77,5.57897,5.204,8.11934,-33.68,13.9011
1.875,0.65,0.51,-0.25,91.99,9.77892,2.687,9.92621,-64.93,16.693
1.875,0.65,0.51,0.05,110.48,11.5134,-3.196,11.3197,-75.89,18.1281
1.875,0.65,0.51,0.35,116.35,12.3718,-10.225,12.9678,-47.19,20.1306
1.875,0.65,0.51,0.65,83.41,11.3118,-32.018,17.714,-75.53,24.2412
1.875,0.65,0.51,0.9,63.42,11.5542,1.626,17.9482,11.26,26.99
1.925,0.65,0.451,-0.6,39.25,5.45174,25.541,8.24079,-27.57,14.5251
1.925,0.65,0.451,-0.25,76.54,8.26312,3.79,9.15759,-45.26,15.7695
1.925,0.65,0.451,0.05,102.15,10.6175,0.82,10.9102,-51.88,18.0003
1.925,0.65,0.451,0.35,95.27,10.1711,-21.114,11.1838,-31.1,18.3527
1.925,0.65,0.451,0.65,80.52,11.0527,-9.447,18.2413,9.22,25.4945
1.925,0.65,0.451,0.9,55.45,18.646,-18.611,39.088,9.07,48.0104
1.975,0.65,0.386,-0.6,24.39,3.72724,3.479,6.385,-5.58,12.0916
1.975,0.65,0.386,-0.25,54.04,6.00788,-6.76,7.4575,-37.64,13.8566
1.975,0.65,0.386,0.05,75.65,8.0445,-4.794,9.23115,-17.68,16.4451
1.975,0.65,0.386,0.35,73.56,8.10119,-9.928,10.0449,-19.92,17.8429
1.975,0.65,0.386,0.65,71.42,8.7028,-9.334,13.057,-5.14,21.215
1.975,0.65,0.386,0.9,66.2,19.3154,13.548,45.0141,61.37,60.0119
2.05,0.65,0.279,-0.6,12.71,2.05214,0.127,4.46739,-18.31,9.25031
2.05,0.65,0.279,-0.25,27.56,3.15026,3.451,4.93392,-28.2,10.184
2.05,0.65,0.279,0.05,46.18,4.86353,-5.53,6.12186,-40.75,12.4622
2.05,0.65,0.279,0.35,48.95,5.26753,-6.661,7.18028,-16.23,14.2789
2.05,0.65,0.279,0.65,49.12,6.00002,-27.365,10.6146,-6.29,19.6684
2.05,0.65,0.279,0.9,37.9,20.0233,-36.218,59.5834,-64.51,80.6819
1.725,1,0.531,-0.6,8.58,3.56364,-1.57,7.26115,3.17,11.2482
1.725,1,0.531,-0.25,11.74,6.46565,-0.905,13.2716,-4.15,17.6556
1.725,1,0.531,0.05,16.52,3.97977,2.701,6.97904,-1.58,10.3943
1.725,1,0.531,0.35,19.74,5.6871,3.437,10.483,7.41,13.5093
1.725,1,0.531,0.65,16.51,4.48006,7.877,7.83336,2.95,10.4729
1.725,1,0.531,0.9,13.33,5.23124,-1.881,8.51253,-6.34,14.2827
1.775,1,0.48,-0.6,14.52,3.78207,3.041,6.52742,-2.39,11.1607
1.775,1,0.48,-0.25,26.97,4.0193,0.523,6.16477,-5.57,10.7713
1.775,1,0.48,0.05,31.72,6.23771,9.984,11.8369,-10.08,15.2205
1.775,1,0.48,0.35,35.73,6.44189,-1.146,12.3971,-9.7,17.3642
1.775,1,0.48,0.65,30.85,7.97289,-9.334,15.9439,-5.29,21.0158
1.775,1,0.48,0.9,28.56,7.24852,2.645,12.421,9.52,19.5153
1.825,1,0.425,-0.6,32.6,4.45973,-7.594,6.80817,10.55,13.1019
1.825,1,0.425,-0.25,45.46,5.26867,6.237,7.04355,-18.92,13.7467
1.825,1,0.425,0.05,54.4,6.1661,-4.879,8.65543,-19.32,15.2843
1.825,1,0.425,0.35,62.1,7.93544,3.196,13.4238,-1.71,20.4321
1.825,1,0.425,0.65,40.45,7.53909,-13.378,15.8897,-28.15,23.6569
1.825,1,0.425,0.9,52.97,10.3728,28.143,19.0328,-4.58,29.0685
1.875,1,0.365,-0.6,36.83,4.87688,-25.71,8.67409,-0.84,16.8075
1.875,1,0.365,-0.25,59.23,6.25443,1.923,8.60154,-37.94,17.315
1.875,1,0.365,0.05,79.34,7.99152,6.604,10.5881,-36.72,19.4134
1.875,1,0.365,0.35,76.68,8.31599,-16.758,12.7978,-41.41,22.6577
1.875,1,0.365,0.65,58.1,9.63714,-17.126,20.4827,-23.82,29.8764
1.875,1,0.365,0.9,36.29,13.158,5.346,30.7032,38.52,46.645
1.925,1,0.3,-0.6,29.06,5.19873,-2.517,11.7959,-9.61,23.5897
1.925,1,0.3,-0.25,55.56,6.12069,-0.339,10.114,-10.71,21.4561
1.925,1,0.3,0.05,70.3,7.25227,4.214,10.9616,-45.37,22.7729
1.925,1,0.3,0.35,60.6,6.95556,-11.003,12.1551,-41.7,23.6247
1.925,1,0.3,0.65,50.27,8.22646,-6.35,19.7437,4.44,33.4634
1.925,1,0.3,0.9,48.95,14.6393,34.776,38.8297,25.52,59.9237
1.975,1,0.231,-0.6,17.11,3.76511,-1.541,10.4358,-27.65,23.9215
1.975,1,0.231,-0.25,31.15,4.41011,-7.495,10.2859,-10.18,24.3634
1.975,1,0.231,0.05,51.37,5.80296,-1.626,11.4144,-26.63,26.5951
1.975,1,0.231,0.35,40.2,5.35802,-13.124,12.0218,-21.61,27.258
1.975,1,0.231,0.65,32.02,8.12793,-31.466,24.3088,-34.1,46.2794
1.975,1,0.231,0.9,44.99,28.0953,31.792,90.2855,16.43,127.533
2.05,1,0.119,-0.25,20.98,5.31092,-24.989,20.817,-49.05,63.9302
2.05,1,0.119,0.05,28.89,5.72028,35.143,21.7981,95.74,62.3981
2.05,1,0.119,0.35,24.53,5.13184,-28.581,20.1414,16.15,55.0438
2.05,1,0.119,0.65,33.62,9.23253,58.577,41.575,130.5,109.08
